GENDER,AGE,EMPLOYMENT,STATE,REGION,EDUCATION,QA_M1,QA_M2,QA_M3,QA_M4,QA_M5,QA_M6,QA_M7,QA_M8,QB,QC,QD,Q1,Q2,Q3,Q4,Q5_M1,Q5_M2,Q5_M3,Q5_M4,Q5_M5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_M1,Q14_M2,Q14_M3,Q14_M4,Q14_M5,Q15,QE,QF,QG,QH,QI,QJ
Male,39,"	Work full-time ",Wisconsin,Midwest,"	Graduate or post-graduate work",Maintain the distributed systems that execute data pipelines,"Develop, maintain, and optimize data systems to make data available for analysis",Ensure that the data architecture will scale appropriately,Write and test code,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Put analytics into production,Write tests to ensure that bad data is detected and acted upon in production,Maintain data in ready-to-use formats,ETL Developer,Yes,We have partially implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,1,1,Focusing too much on maintaining data pipelines and/or manual processes,,,,,Agree somewhat,Often,Often,Very likely,"Yes, multiple times",Somewhat difficult,Somewhat effectively,Very important,Lack of knowledge around what DataOps is,,,,,Agree somewhat,10,10,11,1500,$50 Million to under $100 Million,Information technology (IT) / software
Male,39,"	Work full-time ",Florida,South,"	Bachelor’s degree","Develop, maintain, and optimize data systems to make data available for analysis",Maintain the distributed systems that execute data pipelines,Write and test code,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,,,,Enterprise Architect,Yes,We have partially implemented DataOps into our company’s data processes,We are confident they won’t break,Sometimes,20,10,Constantly playing catch up with stakeholder requests,,,,,Agree strongly,All the time,Rarely,Very likely,"Yes, multiple times",Somewhat difficult,Very effectively,Very important,Organization isn’t sure how to implement this,Lack of buy-in from company leadership or other stakeholders,Lack of knowledge around what DataOps is,,,Agree somewhat,5,10,50,2000,$10 Million to under $25 Million,Banking
Male,34,"	Work full-time ",Florida,South,"	Graduate or post-graduate work",Create data pipelines,"Develop, maintain, and optimize data systems to make data available for analysis",Write tests to ensure that bad data is detected and acted upon in production,Maintain the distributed systems that execute data pipelines,,,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,All the time,25,5,Focusing too much time on finding and fixing errors,Unreasonable requests from stakeholders,,,,Agree strongly,Sometimes,All the time,Not very likely,"Yes, multiple times",Somewhat difficult,Very effectively,Essential,,,,,,Agree strongly,10,15,20,20,$1 Billion or more,Information technology (IT) / software
Male,38,"	Work full-time ",Wisconsin,Midwest,"	Graduate or post-graduate work",Maintain the distributed systems that execute data pipelines,Maintain data in ready-to-use formats,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,,,,,Enterprise Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,All the time,70,60,Fast pace of requests from stakeholders,Constantly playing catch up with stakeholder requests,,,,Agree strongly,All the time,Often,Not at all likely,"Yes, multiple times",Very difficult,Very effectively,Essential,,,,,,Agree strongly,18,18,45,250,$100 Million to under $250 Million,Information technology (IT) / software
Male,39,"	Work full-time ",Georgia,South,"	Graduate or post-graduate work",Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Maintain the distributed systems that execute data pipelines,Maintain data in ready-to-use formats,"Develop, maintain, and optimize data systems to make data available for analysis",Ensure that the data architecture will scale appropriately,,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Often,40,35,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,Focusing too much time on finding and fixing errors,,,Agree somewhat,Sometimes,Sometimes,Not very likely,"Yes, once",Somewhat difficult,Somewhat effectively,Very important,,,,,,Agree somewhat,6,7,10,999,$250 Million to under $500 Million,Banking
Male,46,"	Work full-time ",Washington,West,"	Graduate or post-graduate work",Write and test code,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,"Develop, maintain, and optimize data systems to make data available for analysis",Maintain data in ready-to-use formats,Maintain the distributed systems that execute data pipelines,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Sometimes,35,30,Constantly playing catch up with stakeholder requests,Fast pace of requests from stakeholders,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,,Disagree strongly,Sometimes,Sometimes,Not very likely,"No, never",Not very difficult,Somewhat effectively,Very important,,,,,,Agree somewhat,6,8,14,1000,$250 Million to under $500 Million,Information technology (IT) / software
Male,38,"	Work full-time ",California,West,"	Graduate or post-graduate work",Maintain data in ready-to-use formats,Maintain the distributed systems that execute data pipelines,Create data pipelines,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,All the time,60,60,Focusing too much time on finding and fixing errors,Unreasonable requests from stakeholders,Lack of feedback on the products delivered,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,5,5,5,500,$10 Million to under $25 Million,Information technology (IT) / software
Male,42,"	Work full-time ",Florida,South,"	Bachelor’s degree","Develop, maintain, and optimize data systems to make data available for analysis",Ensure that the data architecture will scale appropriately,Write and test code,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Maintain data in ready-to-use formats,,,,Data Architect,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,20,25,Focusing too much time on finding and fixing errors,Constantly playing catch up with stakeholder requests,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,,Agree somewhat,Often,Often,Very likely,"Yes, multiple times",Not very difficult,Very effectively,Very important,,,,,,Agree somewhat,5,6,7,700,$100 Million to under $250 Million,Manufacturing
Male,41,"	Work full-time ",Ohio,Midwest,"	Graduate or post-graduate work",Maintain data in ready-to-use formats,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,"Develop, maintain, and optimize data systems to make data available for analysis",Maintain the distributed systems that execute data pipelines,Write tests to ensure that bad data is detected and acted upon in production,,,,Big Data Engineer,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Often,60,60,Focusing too much time on finding and fixing errors,Lack of feedback on the products delivered,Focusing too much on maintaining data pipelines and/or manual processes,Constantly playing catch up with stakeholder requests,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,10,10,10,700,$500 Million to under $1 Billion,Information technology (IT) / software
Male,39,"	Work full-time ",California,West,"	Graduate or post-graduate work",Maintain data in ready-to-use formats,Write tests to ensure that bad data is detected and acted upon in production,Put analytics into production,Ensure that the data architecture will scale appropriately,Create data pipelines,Maintain the distributed systems that execute data pipelines,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,All the time,5,5,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,5,5,5,500,$10 Million to under $25 Million,Information technology (IT) / software
